test_id,test,ablation,model,county_id,weighted_mae,baseline_mae,delta_mae
A,2014_2018,C_plus_turnout_size,elastic_net,03,0.023705828958907226,0.01687479314052495,0.006831035818382278
A,2014_2018,C_plus_turnout_size,elastic_net,04,0.019333366437951166,0.012571055742271652,0.0067623106956795145
A,2014_2018,C_plus_turnout_size,elastic_net,05,0.019287630678648703,0.013504032243188746,0.005783598435459957
A,2014_2018,C_plus_turnout_size,elastic_net,06,0.020947617055319823,0.013854566408752596,0.007093050646567227
A,2014_2018,C_plus_turnout_size,elastic_net,07,0.02289297623824622,0.015151195317151984,0.007741780921094236
A,2014_2018,C_plus_turnout_size,elastic_net,08,0.021143984875681022,0.013726688490448752,0.00741729638523227
A,2014_2018,C_plus_turnout_size,elastic_net,09,0.01812767616019083,0.015163759271126665,0.0029639168890641665
A,2014_2018,C_plus_turnout_size,elastic_net,10,0.0259316337653831,0.012334346917730513,0.013597286847652587
A,2014_2018,C_plus_turnout_size,elastic_net,12,0.02752261264936486,0.014275196006338775,0.013247416643026083
A,2014_2018,C_plus_turnout_size,elastic_net,13,0.02042528473272739,0.013484349925191883,0.006940934807535508
A,2014_2018,C_plus_turnout_size,elastic_net,14,0.021220838267439805,0.013355199971251216,0.007865638296188589
A,2014_2018,C_plus_turnout_size,elastic_net,17,0.02021510738043856,0.013828467340715514,0.006386640039723045
A,2014_2018,C_plus_turnout_size,elastic_net,18,0.020417706763591146,0.01376644349177724,0.006651263271813906
A,2014_2018,C_plus_turnout_size,elastic_net,19,0.021817663954417574,0.01309646276871199,0.008721201185705584
A,2014_2018,C_plus_turnout_size,elastic_net,20,0.02222664997743586,0.014335025502625222,0.007891624474810637
A,2014_2018,C_plus_turnout_size,elastic_net,21,0.018823364225951704,0.0128227044944627,0.006000659731489003
A,2014_2018,C_plus_turnout_size,elastic_net,22,0.017949202632775045,0.014329307564465033,0.003619895068310012
A,2014_2018,C_plus_turnout_size,elastic_net,23,0.01828789535589987,0.013303269147549226,0.004984626208350645
A,2014_2018,C_plus_turnout_size,elastic_net,24,0.016293269887720296,0.015656378098337243,0.0006368917893830525
A,2014_2018,C_plus_turnout_size,elastic_net,25,0.01820979777182327,0.014077037201450798,0.004132760570372471
A,2014_2018,C_plus_turnout_size,lightgbm,01,0.02037770057503293,0.017502617474708018,0.002875083100324912
A,2014_2018,C_plus_turnout_size,lightgbm,03,0.021730224612761865,0.01687479314052495,0.004855431472236917
A,2014_2018,C_plus_turnout_size,lightgbm,04,0.018003210178795595,0.012571055742271652,0.0054321544365239435
A,2014_2018,C_plus_turnout_size,lightgbm,05,0.017295802128288393,0.013504032243188746,0.0037917698850996467
A,2014_2018,C_plus_turnout_size,lightgbm,06,0.019647260473540148,0.013854566408752596,0.005792694064787551
A,2014_2018,C_plus_turnout_size,lightgbm,07,0.019645851949629714,0.015151195317151984,0.0044946566324777296
A,2014_2018,C_plus_turnout_size,lightgbm,08,0.01960880233625294,0.013726688490448752,0.005882113845804188
A,2014_2018,C_plus_turnout_size,lightgbm,09,0.01820274420781644,0.015163759271126665,0.003038984936689776
A,2014_2018,C_plus_turnout_size,lightgbm,10,0.021452676320519965,0.012334346917730513,0.009118329402789453
A,2014_2018,C_plus_turnout_size,lightgbm,12,0.02171872129003181,0.014275196006338775,0.0074435252836930355
A,2014_2018,C_plus_turnout_size,lightgbm,13,0.019541257542973946,0.013484349925191883,0.006056907617782064
A,2014_2018,C_plus_turnout_size,lightgbm,14,0.01910768023918074,0.013355199971251216,0.005752480267929523
A,2014_2018,C_plus_turnout_size,lightgbm,17,0.019654722382789855,0.013828467340715514,0.005826255042074341
A,2014_2018,C_plus_turnout_size,lightgbm,18,0.018820276153355277,0.01376644349177724,0.005053832661578037
A,2014_2018,C_plus_turnout_size,lightgbm,19,0.020581643007304792,0.01309646276871199,0.007485180238592803
A,2014_2018,C_plus_turnout_size,lightgbm,20,0.01920488200538578,0.014335025502625222,0.004869856502760559
A,2014_2018,C_plus_turnout_size,lightgbm,21,0.017330420451757395,0.0128227044944627,0.004507715957294694
A,2014_2018,C_plus_turnout_size,lightgbm,22,0.019329055187484095,0.014329307564465033,0.004999747623019062
A,2014_2018,C_plus_turnout_size,lightgbm,23,0.01886794644995024,0.013303269147549226,0.0055646773024010145
A,2014_2018,C_plus_turnout_size,lightgbm,24,0.016585506926675594,0.015656378098337243,0.0009291288283383506
A,2014_2018,C_plus_turnout_size,lightgbm,25,0.0194945277587408,0.014077037201450798,0.005417490557290003
A,2014_2018,C_plus_turnout_size,ridge,01,0.022215723300978842,0.017502617474708018,0.004713105826270825
A,2014_2018,C_plus_turnout_size,ridge,03,0.023927214829333028,0.01687479314052495,0.00705242168880808
A,2014_2018,C_plus_turnout_size,ridge,04,0.01950037563535617,0.012571055742271652,0.006929319893084519
A,2014_2018,C_plus_turnout_size,ridge,05,0.019364687082862077,0.013504032243188746,0.005860654839673331
A,2014_2018,C_plus_turnout_size,ridge,06,0.02113300195519055,0.013854566408752596,0.007278435546437954
