test_id,test,ablation,model,party,weighted_mae,baseline_mae,delta_mae
B,2018_2022,C_plus_turnout_size,lightgbm,C,0.014790069404516378,0.012514718684443852,0.0022753507200725265
B,2018_2022,C_plus_turnout_size,lightgbm,KD,0.009683626082348297,0.011773950169547204,-0.002090324087198907
B,2018_2022,C_plus_turnout_size,lightgbm,L,0.008110777280508102,0.00835506604685411,-0.000244288766346008
B,2018_2022,C_plus_turnout_size,lightgbm,M,0.018466049953386948,0.01931022898290317,-0.0008441790295162233
B,2018_2022,C_plus_turnout_size,lightgbm,MP,0.009801132221204241,0.009116450650014915,0.0006846815711893262
B,2018_2022,C_plus_turnout_size,lightgbm,OTHER,0.017719692554686417,0.007372434611320822,0.010347257943365596
B,2018_2022,C_plus_turnout_size,lightgbm,S,0.025665583471736617,0.032124659196994566,-0.006459075725257949
B,2018_2022,C_plus_turnout_size,lightgbm,SD,0.018172219784455778,0.018627705812195687,-0.00045548602773990907
B,2018_2022,C_plus_turnout_size,lightgbm,V,0.01759105617163475,0.013029969861245504,0.0045610863103892445
B,2018_2022,C_plus_turnout_size,ridge,C,0.017404858277716036,0.012514718684443852,0.004890139593272185
B,2018_2022,C_plus_turnout_size,ridge,KD,0.009965685479047706,0.011773950169547204,-0.0018082646904994983
B,2018_2022,C_plus_turnout_size,ridge,L,0.007795453318258372,0.00835506604685411,-0.0005596127285957386
B,2018_2022,C_plus_turnout_size,ridge,M,0.02067811650431704,0.01931022898290317,0.0013678875214138686
B,2018_2022,C_plus_turnout_size,ridge,MP,0.00991466094531957,0.009116450650014915,0.0007982102953046546
B,2018_2022,C_plus_turnout_size,ridge,OTHER,0.02001504987956328,0.007372434611320822,0.012642615268242459
B,2018_2022,C_plus_turnout_size,ridge,S,0.025792009432178725,0.032124659196994566,-0.006332649764815842
B,2018_2022,C_plus_turnout_size,ridge,SD,0.018985192516581106,0.018627705812195687,0.00035748670438541866
B,2018_2022,C_plus_turnout_size,ridge,V,0.019767645261236196,0.013029969861245504,0.006737675399990692
B0,2018_2022,A_previous_shares,elastic_net,C,0.017287117177376778,0.012514718684443852,0.004772398492932926
B0,2018_2022,A_previous_shares,elastic_net,KD,0.009356230679896316,0.011773950169547204,-0.002417719489650888
B0,2018_2022,A_previous_shares,elastic_net,L,0.008064238398547684,0.00835506604685411,-0.00029082764830642635
B0,2018_2022,A_previous_shares,elastic_net,M,0.021396445897055874,0.01931022898290317,0.0020862169141527033
B0,2018_2022,A_previous_shares,elastic_net,MP,0.009636186493287733,0.009116450650014915,0.0005197358432728182
B0,2018_2022,A_previous_shares,elastic_net,OTHER,0.014323049575746306,0.007372434611320822,0.006950614964425484
B0,2018_2022,A_previous_shares,elastic_net,S,0.024397697729708217,0.032124659196994566,-0.0077269614672863494
B0,2018_2022,A_previous_shares,elastic_net,SD,0.019703665113989157,0.018627705812195687,0.00107595930179347
B0,2018_2022,A_previous_shares,elastic_net,V,0.025288199183235875,0.013029969861245504,0.01225822932199037
B0,2018_2022,A_previous_shares,lightgbm,C,0.017566742797998722,0.012514718684443852,0.005052024113554871
B0,2018_2022,A_previous_shares,lightgbm,KD,0.009778528941328935,0.011773950169547204,-0.0019954212282182696
B0,2018_2022,A_previous_shares,lightgbm,L,0.008256791309057751,0.00835506604685411,-0.00009827473779635935
B0,2018_2022,A_previous_shares,lightgbm,M,0.019672620233187922,0.01931022898290317,0.00036239125028475136
B0,2018_2022,A_previous_shares,lightgbm,MP,0.009804937207063933,0.009116450650014915,0.0006884865570490183
B0,2018_2022,A_previous_shares,lightgbm,OTHER,0.015395190023075718,0.007372434611320822,0.008022755411754897
B0,2018_2022,A_previous_shares,lightgbm,S,0.02608154707324062,0.032124659196994566,-0.006043112123753948
B0,2018_2022,A_previous_shares,lightgbm,SD,0.020206657107745062,0.018627705812195687,0.0015789512955493752
B0,2018_2022,A_previous_shares,lightgbm,V,0.023045139585670584,0.013029969861245504,0.01001516972442508
B0,2018_2022,A_previous_shares,ridge,C,0.017860241093301536,0.012514718684443852,0.005345522408857684
B0,2018_2022,A_previous_shares,ridge,KD,0.009477292689727392,0.011773950169547204,-0.002296657479819813
B0,2018_2022,A_previous_shares,ridge,L,0.008101979347043396,0.00835506604685411,-0.0002530866998107142
B0,2018_2022,A_previous_shares,ridge,M,0.02266279070818985,0.01931022898290317,0.0033525617252866784
B0,2018_2022,A_previous_shares,ridge,MP,0.009944924896764894,0.009116450650014915,0.000828474246749979
B0,2018_2022,A_previous_shares,ridge,OTHER,0.012828346799910701,0.007372434611320822,0.005455912188589879
B0,2018_2022,A_previous_shares,ridge,S,0.024538821257963146,0.032124659196994566,-0.00758583793903142
B0,2018_2022,A_previous_shares,ridge,SD,0.02015034060694511,0.018627705812195687,0.0015226347947494244
B0,2018_2022,A_previous_shares,ridge,V,0.026627640604765968,0.013029969861245504,0.013597670743520463
B0,2018_2022,B_plus_structure,elastic_net,C,0.01731187222358052,0.012514718684443852,0.0047971535391366695
B0,2018_2022,B_plus_structure,elastic_net,KD,0.009506942850066794,0.011773950169547204,-0.0022670073194804106
B0,2018_2022,B_plus_structure,elastic_net,L,0.008085322353035732,0.00835506604685411,-0.00026974369381837886
B0,2018_2022,B_plus_structure,elastic_net,M,0.021573267721870796,0.01931022898290317,0.002263038738967625
B0,2018_2022,B_plus_structure,elastic_net,MP,0.00965378889358931,0.009116450650014915,0.0005373382435743951
B0,2018_2022,B_plus_structure,elastic_net,OTHER,0.014244697575260907,0.007372434611320822,0.006872262963940085
B0,2018_2022,B_plus_structure,elastic_net,S,0.024380016882699793,0.032124659196994566,-0.007744642314294774
B0,2018_2022,B_plus_structure,elastic_net,SD,0.01981826050373457,0.018627705812195687,0.0011905546915388816
B0,2018_2022,B_plus_structure,elastic_net,V,0.02552397252996832,0.013029969861245504,0.012494002668722817
B0,2018_2022,B_plus_structure,lightgbm,C,0.01756027072425101,0.012514718684443852,0.005045552039807158
B0,2018_2022,B_plus_structure,lightgbm,KD,0.009731794744857426,0.011773950169547204,-0.0020421554246897785
B0,2018_2022,B_plus_structure,lightgbm,L,0.00830351453383585,0.00835506604685411,-0.00005155151301826019
B0,2018_2022,B_plus_structure,lightgbm,M,0.019149391626270006,0.01931022898290317,-0.00016083735663316445
B0,2018_2022,B_plus_structure,lightgbm,MP,0.009748373865627631,0.009116450650014915,0.0006319232156127164
B0,2018_2022,B_plus_structure,lightgbm,OTHER,0.017615945410497772,0.007372434611320822,0.010243510799176951
B0,2018_2022,B_plus_structure,lightgbm,S,0.025741429584156466,0.032124659196994566,-0.0063832296128381
B0,2018_2022,B_plus_structure,lightgbm,SD,0.019976147773750275,0.018627705812195687,0.0013484419615545883
B0,2018_2022,B_plus_structure,lightgbm,V,0.023077692594186457,0.013029969861245504,0.010047722732940953
B0,2018_2022,B_plus_structure,ridge,C,0.018101420213584716,0.012514718684443852,0.005586701529140864
B0,2018_2022,B_plus_structure,ridge,KD,0.009598018180353683,0.011773950169547204,-0.0021759319891935212
B0,2018_2022,B_plus_structure,ridge,L,0.008107930185071522,0.00835506604685411,-0.00024713586178258876
B0,2018_2022,B_plus_structure,ridge,M,0.022985339696250027,0.01931022898290317,0.003675110713346856
B0,2018_2022,B_plus_structure,ridge,MP,0.009950855467510332,0.009116450650014915,0.0008344048174954172
B0,2018_2022,B_plus_structure,ridge,OTHER,0.012781371915557439,0.007372434611320822,0.005408937304236617
B0,2018_2022,B_plus_structure,ridge,S,0.02459370323310875,0.032124659196994566,-0.007530955963885817
B0,2018_2022,B_plus_structure,ridge,SD,0.020186002735883484,0.018627705812195687,0.001558296923687797
B0,2018_2022,B_plus_structure,ridge,V,0.026970894553332195,0.013029969861245504,0.01394092469208669
B0,2018_2022,C_plus_turnout_size,elastic_net,C,0.017266496388241844,0.012514718684443852,0.0047517777037979925
B0,2018_2022,C_plus_turnout_size,elastic_net,KD,0.009518444699387382,0.011773950169547204,-0.002255505470159822
B0,2018_2022,C_plus_turnout_size,elastic_net,L,0.008069467506759997,0.00835506604685411,-0.0002855985400941133
B0,2018_2022,C_plus_turnout_size,elastic_net,M,0.021918487147638523,0.01931022898290317,0.0026082581647353525
B0,2018_2022,C_plus_turnout_size,elastic_net,MP,0.009651749861921898,0.009116450650014915,0.0005352992119069828
B0,2018_2022,C_plus_turnout_size,elastic_net,OTHER,0.014015041423877012,0.007372434611320822,0.00664260681255619
B0,2018_2022,C_plus_turnout_size,elastic_net,S,0.024408988096411864,0.032124659196994566,-0.007715671100582702
B0,2018_2022,C_plus_turnout_size,elastic_net,SD,0.019833865560763567,0.018627705812195687,0.0012061597485678796
B0,2018_2022,C_plus_turnout_size,elastic_net,V,0.026055783096947983,0.013029969861245504,0.013025813235702479
B0,2018_2022,C_plus_turnout_size,lightgbm,C,0.017606409458551665,0.012514718684443852,0.005091690774107814
B0,2018_2022,C_plus_turnout_size,lightgbm,KD,0.009751641418900213,0.011773950169547204,-0.002022308750646991
B0,2018_2022,C_plus_turnout_size,lightgbm,L,0.008236076553239033,0.00835506604685411,-0.00011898949361507753
B0,2018_2022,C_plus_turnout_size,lightgbm,M,0.019581312508783852,0.01931022898290317,0.0002710835258806811
B0,2018_2022,C_plus_turnout_size,lightgbm,MP,0.009806245015209769,0.009116450650014915,0.000689794365194854
