wave_id,matrix_stage,previous_party,current_party,probability,election_cycle
scb_2018M05_original,PRIMARY_POSTERIOR_MEAN_RAKED,OTHER,SD,0.035271666234,2018
scb_2018M05_original,PRIMARY_POSTERIOR_MEAN_RAKED,OTHER,V,0.287388089873,2018
scb_2018M05_original,PRIMARY_POSTERIOR_MEAN_RAKED,S,C,0.017470393215,2018
scb_2018M05_original,PRIMARY_POSTERIOR_MEAN_RAKED,S,KD,0.003140601566,2018
scb_2018M05_original,PRIMARY_POSTERIOR_MEAN_RAKED,S,L,0.011062831992,2018
scb_2018M05_original,PRIMARY_POSTERIOR_MEAN_RAKED,S,M,0.042823659878,2018
scb_2018M05_original,PRIMARY_POSTERIOR_MEAN_RAKED,S,MP,0.017681559891,2018
scb_2018M05_original,PRIMARY_POSTERIOR_MEAN_RAKED,S,OTHER,0.009365419758,2018
scb_2018M05_original,PRIMARY_POSTERIOR_MEAN_RAKED,S,S,0.783688534358,2018
scb_2018M05_original,PRIMARY_POSTERIOR_MEAN_RAKED,S,SD,0.080755099226,2018
scb_2018M05_original,PRIMARY_POSTERIOR_MEAN_RAKED,S,V,0.034011900117,2018
scb_2018M05_original,PRIMARY_POSTERIOR_MEAN_RAKED,SD,C,0.002374101224,2018
scb_2018M05_original,PRIMARY_POSTERIOR_MEAN_RAKED,SD,KD,0.004931424718,2018
scb_2018M05_original,PRIMARY_POSTERIOR_MEAN_RAKED,SD,L,0.002320422207,2018
scb_2018M05_original,PRIMARY_POSTERIOR_MEAN_RAKED,SD,M,0.051933575653,2018
scb_2018M05_original,PRIMARY_POSTERIOR_MEAN_RAKED,SD,MP,0.000000000001,2018
scb_2018M05_original,PRIMARY_POSTERIOR_MEAN_RAKED,SD,OTHER,0.012530031566,2018
scb_2018M05_original,PRIMARY_POSTERIOR_MEAN_RAKED,SD,S,0.006526349717,2018
scb_2018M05_original,PRIMARY_POSTERIOR_MEAN_RAKED,SD,SD,0.911647574665,2018
scb_2018M05_original,PRIMARY_POSTERIOR_MEAN_RAKED,SD,V,0.007736520248,2018
scb_2018M05_original,PRIMARY_POSTERIOR_MEAN_RAKED,V,C,0.024410323945,2018
scb_2018M05_original,PRIMARY_POSTERIOR_MEAN_RAKED,V,KD,0.004042521640,2018
scb_2018M05_original,PRIMARY_POSTERIOR_MEAN_RAKED,V,L,0.000000000001,2018
scb_2018M05_original,PRIMARY_POSTERIOR_MEAN_RAKED,V,M,0.011087101389,2018
scb_2018M05_original,PRIMARY_POSTERIOR_MEAN_RAKED,V,MP,0.029001434394,2018
scb_2018M05_original,PRIMARY_POSTERIOR_MEAN_RAKED,V,OTHER,0.036342764631,2018
scb_2018M05_original,PRIMARY_POSTERIOR_MEAN_RAKED,V,S,0.112156591492,2018
scb_2018M05_original,PRIMARY_POSTERIOR_MEAN_RAKED,V,SD,0.035490626303,2018
scb_2018M05_original,PRIMARY_POSTERIOR_MEAN_RAKED,V,V,0.747468636205,2018
scb_2018M05_original,PUBLISHED_POINT_RAKED,C,C,0.692763992521,2018
scb_2018M05_original,PUBLISHED_POINT_RAKED,C,KD,0.010441850648,2018
scb_2018M05_original,PUBLISHED_POINT_RAKED,C,L,0.036752426471,2018
scb_2018M05_original,PUBLISHED_POINT_RAKED,C,M,0.124894774124,2018
scb_2018M05_original,PUBLISHED_POINT_RAKED,C,MP,0.005901314693,2018
scb_2018M05_original,PUBLISHED_POINT_RAKED,C,OTHER,0.013342199955,2018
scb_2018M05_original,PUBLISHED_POINT_RAKED,C,S,0.046518775025,2018
scb_2018M05_original,PUBLISHED_POINT_RAKED,C,SD,0.057756856287,2018
scb_2018M05_original,PUBLISHED_POINT_RAKED,C,V,0.011627810275,2018
scb_2018M05_original,PUBLISHED_POINT_RAKED,KD,C,0.144201874417,2018
